wdid	label	score
Q165008 	Deutsch-Neuguinea
Q153963 	Deutsch-Ostafrika
Q153665 	Deutsch-Südwestafrika
Q701025 	Deutsche Schutzgebiete in der Südsee
Q668294 	Kamerun
Q1721466 	Kapitaï und Koba
Q675321 	Kiautschou
Q15057620 	Mahinland
Q26271738 	Samoa
Q705598 	Sultanat Witu
Q161062 	Togo
Q50418746	Aaron Emil August Kohl
Q99622	Abraham Esau
Q51010287	Abraham van der Meulen
Q51046216	Adalbert Kalkowski
Q51078205	Adam
Q51001948	Adam Burk
Q51004995	Adam Gircyk
Q51045143	Adam Grützmacher
Q104186	Adam Karrillon
Q51008831	Adam Küfner
Q51054232	Adam Rottler
Q50603362	Adam Schubert
Q50418749	Adele Verdan
Q47539050	Adelmann
Q51041691	Adolf  Bauer
Q51000691	Adolf Barkhausen
Q51041657	Adolf Bau
Q51041702	Adolf Bauer
Q51042049	Adolf Bohlmann
Q51042389	Adolf Busch
Q51078523	Adolf Degenhardt
Q51003001	Adolf Eberts
Q51003134	Adolf Eickmann
Q51078613	Adolf Fischer
Q60697	Adolf Friedrich zu Mecklenburg
Q51004846	Adolf Gericke
Q51078745	Adolf Gruschka
Q51078761	Adolf Guthke
Q51005762	Adolf Gutsche
Q51005773	Adolf Gutzeit
Q51006054	Adolf Handloser
Q51006103	Adolf Hardt
Q51006425	Adolf Heinsohn
Q50418750	Adolf Hermann Tauterat
Q51078848	Adolf Hermkes
Q51078867	Adolf Heyer
Q51007141	Adolf Hübner
Q51007327	Adolf Jahr
Q51007460	Adolf Jezisorsky
Q51087884	Adolf Kleinert
Q51008157	Adolf Klingenschmitt
Q51008189	Adolf Klocek
Q51008373	Adolf Koch
Q51008822	Adolf Kuchler
Q51047209	Adolf Landzik
Q50418753	Adolf Langbein
Q51009048	Adolf Langberg
Q50418755	Adolf Leopold Mack
Q51047544	Adolf Ludewig
Q77340	Adolf Lüderitz
Q51088605	Adolf Matheis
Q50602543	Adolf Maurer
Q51010149	Adolf Meißner
Q51011272	Adolf Orschulko
Q50602875	Adolf Pohlmann
Q51011949	Adolf Poncelet
Q51011972	Adolf Pöthig
Q51012682	Adolf Rieger
Q103726	Adolf Schenck
Q364107	Adolf Schipper
Q17310140	Adolf Schlettwein
Q51014179	Adolf Schwittay
Q51042357	Adolf Synowzik Burg
Q51015161	Adolf Tschepe
Q50418757	Adolf Unger
Q51067884	Adolf Weber
Q51067940	Adolf Westphal
Q51068001	Adolf Wild
Q364744	Adolf von Duisburg
Q51005116	Adolph Gohde
Q51078832	Adolph Hellwig
Q75083	Adolph Woermann
Q51078897	Agnes Hoffmann
Q51000698	Agustin Barraz
Q51015319	Aio Vicenzi
Q51000312	Albert Adler
Q51041614	Albert Barnick
Q51078437	Albert Bohs
Q51042183	Albert Bruhn
Q51042399	Albert Busching
Q51001449	Albert Böhm
Q50418759	Albert Charles Champod
Q50601611	Albert Eckmann
Q47544659	Albert Fademrecht
Q51003632	Albert Ferner
Q51044451	Albert Fleck
Q50418763	Albert Friedrich Glöckel
Q47544646	Albert Fröhlich
